Radius,Length,Shield,ReflectionFT,TransmissionFT,ReflectionFF,TransmissionFF,ReflectionGT,TransmissionGT,ReflectionGF,TransmissionGF,ReflectionCT,TransmissionCT,ReflectionCF,TransmissionCF
28,330,62,0.171596,0.010113,0.204669,0.016601,0.338799,0.025707,0.13327,0.018697,0.233564,0.016425,0.082825,0.012591
24,218,47,0.169676,0.018508,0.178722,0.028022,0.301853,0.040517,0.101288,0.027399,0.227497,0.031520,0.077043,0.022074
8,55,33,0.146451,0.034401,0.094743,0.047469,0.180789,0.059748,0.044968,0.041781,0.165772,0.054431,0.039793,0.037741
41,465,67,0.17532,0.011089,0.225382,0.017732,0.359051,0.027079,0.140461,0.018745,0.245742,0.018387,0.093702,0.013733
33,176,61,0.172815,0.060075,0.210051,0.089353,0.336448,0.129206,0.12891,0.082432,0.237108,0.096905,0.086810,0.063725
47,30,61,0.102473,0.63205,0.089012,0.622903,0.133494,0.666229,0.040479,0.576685,0.120011,0.667013,0.037575,0.578608
26,418,57,0.170731,0.004966,0.195313,0.007635,0.326281,0.010202,0.12281,0.008133,0.230781,0.007205,0.080573,0.006108
17,436,50,0.164445,0.001698,0.159018,0.002394,0.279469,0.002318,0.094801,0.002335,0.212166,0.002125,0.066063,0.002024
48,256,74,0.175987,0.06035,0.234475,0.090798,0.362793,0.133119,0.145731,0.083329,0.247428,0.098153,0.097149,0.064517
9,46,40,0.149525,0.064005,0.102479,0.080992,0.191253,0.103978,0.049674,0.068265,0.172181,0.096110,0.043021,0.063122
36,358,58,0.174192,0.015072,0.206974,0.023019,0.335311,0.034112,0.120326,0.022856,0.241780,0.025573,0.089203,0.018354
3,22,11,0.109538,0.029258,0.039195,0.032338,0.083319,0.036157,0.013941,0.026549,0.093945,0.042903,0.014259,0.027512
23,99,26,0.160026,0.087683,0.067017,0.07365,0.134228,0.086964,0.024953,0.063413,0.152275,0.108097,0.024047,0.065169
20,471,41,0.167163,0.002071,0.161234,0.002838,0.279602,0.002755,0.087056,0.002693,0.219934,0.002633,0.070595,0.002466
20,9,39,0.07123,0.711496,0.035353,0.674312,0.064051,0.706125,0.014006,0.653927,0.066853,0.719778,0.013113,0.655224
31,115,59,0.170606,0.117056,0.199878,0.157104,0.315684,0.208239,0.118204,0.134637,0.230038,0.171111,0.082715,0.113523
26,343,30,0.167633,0.007744,0.084416,0.009109,0.162294,0.008332,0.032419,0.008223,0.179039,0.010405,0.031985,0.008106
50,318,70,0.176548,0.041716,0.221273,0.060709,0.347099,0.089961,0.127263,0.055004,0.249348,0.070441,0.096464,0.046340
16,222,22,0.162994,0.006902,0.09324,0.008491,0.178298,0.007966,0.036771,0.007667,0.188679,0.009706,0.037528,0.007581
5,422,34,0.130718,0.000151,0.067525,0.000165,0.134204,0.000159,0.030042,0.000157,0.132346,0.000156,0.027184,0.000161
48,125,68,0.169971,0.199585,0.204526,0.241513,0.306496,0.299752,0.111472,0.195824,0.230551,0.267450,0.087899,0.184330
14,449,44,0.160752,0.001085,0.140949,0.001412,0.25287,0.001289,0.07909,0.001317,0.201924,0.001261,0.059132,0.001207
33,193,37,0.169757,0.049256,0.088353,0.045903,0.167382,0.053511,0.034195,0.039488,0.183384,0.067853,0.033588,0.040331
34,255,50,0.173526,0.028919,0.184302,0.039522,0.303769,0.05612,0.095687,0.03546,0.238973,0.049244,0.082955,0.032658
19,265,22,0.158586,0.006752,0.064704,0.007877,0.131048,0.006935,0.023904,0.007194,0.149787,0.008524,0.023191,0.007010
39,295,53,0.1748,0.028379,0.182581,0.037681,0.299971,0.052471,0.092058,0.033206,0.242422,0.048442,0.083176,0.031744
10,285,26,0.152918,0.001359,0.10423,0.001795,0.197048,0.001507,0.047503,0.00165,0.181145,0.001637,0.045474,0.001582
29,70,50,0.163894,0.219092,0.170803,0.250609,0.267949,0.307069,0.088843,0.203897,0.212980,0.283782,0.073036,0.195939
40,227,57,0.17477,0.053072,0.196849,0.071273,0.317267,0.101459,0.105452,0.061295,0.242984,0.086980,0.087897,0.056529
45,479,56,0.175996,0.012818,0.170315,0.016841,0.282315,0.020503,0.080943,0.015056,0.243180,0.021348,0.078113,0.014892
27,393,61,0.171179,0.00622,0.201581,0.009982,0.334972,0.014142,0.130673,0.01112,0.232201,0.009415,0.081821,0.007692
37,366,50,0.174424,0.015288,0.174769,0.020559,0.290397,0.026521,0.085977,0.01845,0.240493,0.025700,0.079935,0.017890
17,347,18,0.110458,0.002683,0.027308,0.00325,0.062054,0.002649,0.009588,0.002987,0.071611,0.003061,0.008737,0.002957
5,156,16,0.130718,0.001121,0.061158,0.001426,0.124194,0.001174,0.0237,0.001316,0.131312,0.001269,0.024475,0.001277
49,214,55,0.17502,0.088334,0.12264,0.085494,0.215623,0.108252,0.051354,0.070279,0.217407,0.125554,0.051343,0.073351
